foodatlas_id	chebi	cdno
e10678	['main group molecular entity', 'polyatomic entity']	['others']
e10679	['main group molecular entity', 'polyatomic entity']	['others']
e10680	['main group molecular entity', 'polyatomic entity']	['others']
e10681	['main group molecular entity', 'polyatomic entity']	['others']
e10682	['main group molecular entity', 'polyatomic entity']	['others']
e10683	['main group molecular entity', 'polyatomic entity']	['others']
e10684	['main group molecular entity', 'polyatomic entity']	['others']
e10685	['main group molecular entity', 'polyatomic entity']	['others']
e10686	['main group molecular entity', 'polyatomic entity']	['others']
e10687	['main group molecular entity', 'polyatomic entity']	['others']
e10688	['main group molecular entity', 'polyatomic entity']	['others']
e10689	['main group molecular entity']	['others']
e10690	['main group molecular entity', 'polyatomic entity']	['others']
e10691	['main group molecular entity', 'polyatomic entity']	['others']
e10692	['main group molecular entity', 'polyatomic entity']	['others']
e10693	['main group molecular entity']	['others']
e10694	['main group molecular entity', 'polyatomic entity']	['others']
e10695	['main group molecular entity', 'polyatomic entity']	['others']
e10696	['main group molecular entity']	['others']
e10697	['main group molecular entity', 'polyatomic entity']	['others']
e10698	['main group molecular entity', 'polyatomic entity']	['others']
e10699	['main group molecular entity', 'polyatomic entity']	['others']
e10700	['main group molecular entity', 'polyatomic entity']	['others']
e10701	['main group molecular entity', 'polyatomic entity']	['others']
e10702	['main group molecular entity', 'polyatomic entity']	['others']
e10703	['main group molecular entity', 'polyatomic entity']	['others']
e10704	['main group molecular entity', 'polyatomic entity']	['others']
e10705	['main group molecular entity', 'polyatomic entity']	['others']
e10706	['main group molecular entity', 'polyatomic entity']	['others']
e10707	['main group molecular entity', 'polyatomic entity']	['others']
e10708	['main group molecular entity', 'polyatomic entity']	['others']
e10709	['main group molecular entity', 'polyatomic entity']	['others']
e10710	['main group molecular entity', 'polyatomic entity']	['others']
e10711	['main group molecular entity', 'polyatomic entity']	['others']
e10712	['main group molecular entity', 'polyatomic entity']	['others']
e10713	['main group molecular entity', 'polyatomic entity']	['others']
e10714	['main group molecular entity', 'polyatomic entity']	['others']
e10715	['main group molecular entity', 'polyatomic entity']	['others']
e10716	['main group molecular entity', 'polyatomic entity']	['others']
e10717	['main group molecular entity', 'polyatomic entity']	['others']
e10718	['main group molecular entity', 'polyatomic entity']	['others']
e10719	['main group molecular entity', 'polyatomic entity']	['others']
e10720	['main group molecular entity', 'polyatomic entity']	['others']
e10721	['main group molecular entity', 'polyatomic entity']	['others']
e10722	['main group molecular entity', 'polyatomic entity']	['others']
e10723	['main group molecular entity', 'polyatomic entity']	['others']
e10724	['main group molecular entity']	['others']
e10725	['main group molecular entity', 'polyatomic entity']	['others']
e10726	['main group molecular entity', 'polyatomic entity']	['others']
e10727	['main group molecular entity', 'polyatomic entity']	['others']
e10728	['main group molecular entity', 'polyatomic entity']	['others']
e10729	['main group molecular entity', 'polyatomic entity']	['others']
e10730	['main group molecular entity', 'polyatomic entity']	['others']
e10731	['main group molecular entity', 'polyatomic entity']	['others']
e10732	['main group molecular entity', 'polyatomic entity']	['others']
e10733	['main group molecular entity']	['others']
e10734	['main group molecular entity', 'polyatomic entity']	['others']
e10735	['main group molecular entity', 'polyatomic entity']	['others']
e10736	['main group molecular entity', 'polyatomic entity']	['others']
e10737	['main group molecular entity', 'polyatomic entity']	['others']
e10738	['main group molecular entity', 'polyatomic entity']	['others']
e10739	['main group molecular entity', 'polyatomic entity']	['others']
e10740	['main group molecular entity', 'polyatomic entity']	['others']
e10741	['main group molecular entity', 'polyatomic entity']	['others']
e10742	['main group molecular entity', 'polyatomic entity']	['others']
e10743	['main group molecular entity', 'polyatomic entity']	['others']
e10744	['main group molecular entity', 'polyatomic entity']	['others']
e10745	['main group molecular entity', 'polyatomic entity']	['others']
e10746	['main group molecular entity', 'polyatomic entity']	['others']
e10747	['main group molecular entity', 'polyatomic entity']	['others']
e10748	['main group molecular entity', 'polyatomic entity']	['others']
e10749	[]	['others']
e10750	['main group molecular entity', 'polyatomic entity']	['others']
e10751	['main group molecular entity']	['others']
e10752	['main group molecular entity', 'polyatomic entity']	['others']
e10753	['main group molecular entity', 'polyatomic entity']	['others']
e10754	['main group molecular entity', 'polyatomic entity']	['others']
e10755	['main group molecular entity', 'polyatomic entity']	['others']
e10756	['main group molecular entity', 'polyatomic entity']	['others']
e10757	['main group molecular entity', 'polyatomic entity']	['others']
e10758	['main group molecular entity', 'polyatomic entity']	['others']
e10759	['main group molecular entity', 'polyatomic entity']	['others']
e10760	['main group molecular entity', 'polyatomic entity']	['others']
e10761	['main group molecular entity', 'polyatomic entity']	['others']
