foodatlas_id	head_id	relationship_id	tail_id	source
co575	e61460	r2	e60909	chebi
co576	e61181	r2	e10506	chebi
co577	e61181	r2	e60041	chebi
co578	e61018	r2	e10509	chebi
co579	e61018	r2	e60909	chebi
co580	e62001	r2	e10509	chebi
co581	e62001	r2	e60041	chebi
co582	e60633	r2	e11455	chebi
co583	e60633	r2	e60909	chebi
co584	e61020	r2	e11455	chebi
co585	e61020	r2	e60041	chebi
co586	e11375	r2	e64236	chebi
co587	e62753	r2	e10517	chebi
co588	e62753	r2	e60909	chebi
co589	e61301	r2	e10517	chebi
co590	e61301	r2	e60041	chebi
co591	e10609	r2	e11375	chebi
co592	e63150	r2	e10609	chebi
co593	e63150	r2	e60909	chebi
co594	e59942	r2	e10609	chebi
co595	e59942	r2	e60041	chebi
co596	e10613	r2	e11375	chebi
co597	e62552	r2	e10613	chebi
co598	e62552	r2	e60909	chebi
co599	e60646	r2	e10613	chebi
co600	e60646	r2	e60041	chebi
co601	e59910	r2	e60909	chebi
co602	e59910	r2	e60674	chebi
co603	e60138	r2	e60909	chebi
co604	e60138	r2	e63790	chebi
co605	e63101	r2	e60909	chebi
co606	e63101	r2	e13674	chebi
co607	e60270	r2	e60909	chebi
co608	e60270	r2	e62188	chebi
co609	e61186	r2	e60909	chebi
co610	e61186	r2	e63212	chebi
co611	e62929	r2	e60909	chebi
co612	e62929	r2	e62625	chebi
co613	e60560	r2	e60909	chebi
co614	e60560	r2	e10502	chebi
co615	e60739	r2	e60909	chebi
co616	e60739	r2	e61842	chebi
co617	e60690	r2	e63790	chebi
co618	e60690	r2	e60041	chebi
co619	e61306	r2	e13674	chebi
co620	e61306	r2	e60041	chebi
co621	e60308	r2	e62188	chebi
co622	e60308	r2	e60041	chebi
co623	e62029	r2	e63212	chebi
co624	e62029	r2	e60041	chebi
co625	e61313	r2	e10502	chebi
co626	e61313	r2	e60041	chebi
co627	e60274	r2	e62625	chebi
co628	e60274	r2	e60041	chebi
co629	e61117	r2	e60041	chebi
co630	e61117	r2	e60674	chebi
co631	e61232	r2	e60041	chebi
co632	e61232	r2	e61842	chebi
co633	e63601	r2	e13011	chebi
co634	e62254	r2	e13011	chebi
co635	e11459	r2	e12768	chebi
co636	e64977	r2	e11459	chebi
co637	e64977	r2	e13739	chebi
co638	e61972	r2	e11459	chebi
co639	e62392	r2	e12768	chebi
co640	e62392	r2	e65421	chebi
co641	e60864	r2	e62392	chebi
co642	e62389	r2	e62392	chebi
co643	e62389	r2	e60109	chebi
co644	e63137	r2	e62389	chebi
co645	e63137	r2	e10619	chebi
co646	e60910	r2	e62389	chebi
co647	e13739	r2	e62392	chebi
co648	e13739	r2	e14163	chebi
co649	e12767	r2	e13739	chebi
co650	e64359	r2	e12767	chebi
co651	e61784	r2	e12767	chebi
co652	e64705	r2	e13739	chebi
co653	e11335	r2	e13739	chebi
co654	e11335	r2	e14164	chebi
co655	e61604	r2	e13739	chebi
co656	e61604	r2	e14067	chebi
co657	e62390	r2	e13739	chebi
co658	e62390	r2	e61143	chebi
co659	e60665	r2	e13739	chebi
co660	e13741	r2	e13739	chebi
co661	e61812	r2	e13739	chebi
co662	e61812	r2	e12044	chebi
co663	e62391	r2	e13739	chebi
co664	e60514	r2	e13739	chebi
co665	e60514	r2	e10619	chebi
co666	e12990	r2	e13739	chebi
co667	e65000	r2	e13739	chebi
co668	e12991	r2	e13739	chebi
co669	e61468	r2	e13739	chebi
co670	e64674	r2	e62392	chebi
co671	e64674	r2	e60449	chebi
co672	e10619	r2	e62392	chebi
co673	e10619	r2	e13592	chebi
co674	e60538	r2	e12768	chebi
co675	e63275	r2	e11462	chebi
co676	e13118	r2	e11988	chebi
co677	e13276	r2	e11462	chebi
co678	e11473	r2	e11462	chebi
co679	e13065	r2	e11473	chebi
co680	e13545	r2	e11473	chebi
co681	e12886	r2	e62396	chebi
co682	e61591	r2	e12886	chebi
co683	e64816	r2	e11988	chebi
co684	e64816	r2	e11616	chebi
co685	e13737	r2	e11988	chebi
co686	e61274	r2	e11988	chebi
co687	e13667	r2	e11988	chebi
co688	e13669	r2	e11988	chebi
co689	e13669	r2	e12678	chebi
co690	e11333	r2	e11988	chebi
co691	e13066	r2	e11988	chebi
co692	e13066	r2	e12044	chebi
co693	e12994	r2	e11988	chebi
co694	e62383	r2	e11988	chebi
co695	e62383	r2	e13592	chebi
co696	e62384	r2	e11988	chebi
co697	e60747	r2	e11988	chebi
co698	e60747	r2	e13887	chebi
co699	e62385	r2	e11988	chebi
co700	e62385	r2	e11499	chebi
co701	e11059	r2	e12593	chebi
co702	e65110	r2	e11059	chebi
co703	e63395	r2	e11059	chebi
co704	e62393	r2	e14163	chebi
co705	e60985	r2	e12732	chebi
co706	e60097	r2	e12732	chebi
co707	e62343	r2	e13270	chebi
co708	e12755	r2	e62396	chebi
co709	e64880	r2	e12755	chebi
co710	e65368	r2	e13635	chebi
co711	e13761	r2	e13256	chebi
co712	e13152	r2	e13761	chebi
co713	e11309	r2	e13635	chebi
co714	e60110	r2	e11309	chebi
co715	e60110	r2	e60109	chebi
co716	e14164	r2	e11309	chebi
co717	e65156	r2	e65389	chebi
co718	e12820	r2	e13372	chebi
co719	e64154	r2	e12592	chebi
co720	e64155	r2	e12592	chebi
co721	e11090	r2	e11169	chebi
co722	e14067	r2	e11090	chebi
co723	e62395	r2	e14067	chebi
co724	e65151	r2	e65389	chebi
co725	e12585	r2	e65051	chebi
co726	e63966	r2	e12585	chebi
co727	e61143	r2	e14163	chebi
co728	e12784	r2	e12678	chebi
co729	e61487	r2	e12784	chebi
co730	e61650	r2	e12784	chebi
co731	e61650	r2	e12757	chebi
co732	e11550	r2	e11616	chebi
co733	e60449	r2	e11616	chebi
co734	e60449	r2	e65421	chebi
co735	e62346	r2	e11616	chebi
co736	e13659	r2	e65389	chebi
co737	e61761	r2	e12759	chebi
co738	e59950	r2	e12759	chebi
co739	e60111	r2	e13388	chebi
co740	e60321	r2	e13388	chebi
co741	e13269	r2	e13270	chebi
co742	e62775	r2	e62461	chebi
co743	e61564	r2	e13221	chebi
co744	e62400	r2	e12370	chebi
co745	e60266	r2	e62400	chebi
co746	e63237	r2	e12593	chebi
co747	e11545	r2	e12593	chebi
co748	e11545	r2	e13691	chebi
co749	e13149	r2	e11545	chebi
co750	e62020	r2	e11545	chebi
co751	e60778	r2	e11545	chebi
co752	e60778	r2	e65390	chebi
co753	e13910	r2	e12593	chebi
co754	e13910	r2	e10964	chebi
co755	e61047	r2	e11387	chebi
co756	e63284	r2	e11306	chebi
co757	e62069	r2	e11306	chebi
co758	e13463	r2	e13910	chebi
co759	e11298	r2	e13463	chebi
co760	e12742	r2	e64301	chebi
co761	e65390	r2	e12593	chebi
co762	e63042	r2	e65390	chebi
co763	e63042	r2	e11499	chebi
co764	e13423	r2	e13752	chebi
co765	e64841	r2	e13752	chebi
co766	e61091	r2	e63504	chebi
co767	e61601	r2	e13738	chebi
co768	e64879	r2	e12044	chebi
co769	e63196	r2	e12044	chebi
co770	e63515	r2	e12044	chebi
